{{0.0001, 0.9999994752012826}, {0.0002, 0.9999979016105284}, 
 {0.00030000000000000003, 0.9999952804364222}, {0.0004, 0.9999916128884336}, 
 {0.0005, 0.9999869001768095}, {0.0006000000000000001, 0.9999811435125683}, 
 {0.0007000000000000001, 0.999974344107494}, {0.0008, 0.9999665031741345}, 
 {0.0009000000000000001, 0.9999576219257862}, {0.001, 0.9999477015764987}, 
 {0.0011, 0.9999367433410604}, {0.0012000000000000001, 0.9999247484350008}, 
 {0.0013000000000000002, 0.9999117180745779}, 
 {0.0014000000000000002, 0.9998976534767743}, {0.0015, 0.9998825558592951}, 
 {0.0016, 0.9998664264405587}, {0.0017000000000000001, 0.9998492664396893}, 
 {0.0018000000000000002, 0.9998310770765166}, 
 {0.0019000000000000002, 0.9998118595715656}, {0.002, 0.9997916151460517}, 
 {0.0021, 0.9997703450218776}, {0.0022, 0.9997480504216255}, 
 {0.0023, 0.9997247325685509}, {0.0024, 0.9997003926865794}, 
 {0.0025, 0.9996750320002981}, {0.0026, 0.9996486517349512}, 
 {0.0027, 0.9996212531164359}, {0.0028, 0.9995928373712976}, 
 {0.0029, 0.9995634057267182}, {0.003, 0.9995329594105156}, 
 {0.0031, 0.9995014996511422}, {0.0032, 0.9994690276776678}, 
 {0.0033, 0.9994355447197854}, {0.0034, 0.9994010520078003}, 
 {0.0035, 0.9993655507726236}, {0.0036, 0.99932904224577}, 
 {0.0037, 0.9992915276593511}, {0.0038, 0.9992530082460708}, 
 {0.0039, 0.9992134852392162}, {0.004, 0.9991729598726581}, 
 {0.0041, 0.9991314333808404}, {0.004200000000000001, 0.9990889069987761}, 
 {0.004300000000000001, 0.9990453819620442}, {0.0044, 0.9990008595067827}, 
 {0.0045000000000000005, 0.9989553408696825}, 
 {0.004600000000000001, 0.9989088272879831}, {0.0047, 0.9988613199994671}, 
 {0.0048000000000000004, 0.9988128202424545}, 
 {0.004900000000000001, 0.998763329255798}, {0.005, 0.998712848278878}, 
 {0.0051, 0.998661378551596}, {0.005200000000000001, 0.9986089213143704}, 
 {0.005300000000000001, 0.9985554778081304}, {0.0054, 0.9985010492743124}, 
 {0.0055000000000000005, 0.9984456369548546}, 
 {0.005600000000000001, 0.9983892420921893}, {0.0057, 0.9983318659292368}, 
 {0.0058000000000000005, 0.9982735097094101}, 
 {0.005900000000000001, 0.9982141746765955}, {0.006, 0.9981538620751578}, 
 {0.0061, 0.9980925731499309}, {0.006200000000000001, 0.9980303091462137}, 
 {0.006300000000000001, 0.9979670713097655}, {0.0064, 0.9979028608867972}, 
 {0.006500000000000001, 0.9978376791239738}, 
 {0.006600000000000001, 0.9977715272684018}, {0.0067, 0.997704406567626}, 
 {0.0068000000000000005, 0.99763631826963}, {0.006900000000000001, 
  0.9975672636228216}, {0.007000000000000001, 0.9974972438760369}, 
 {0.0071, 0.9974262602785279}, {0.007200000000000001, 0.9973543140799632}, 
 {0.007300000000000001, 0.9972814065304222}, {0.0074, 0.997207538880383}, 
 {0.007500000000000001, 0.9971327123807276}, 
 {0.007600000000000001, 0.9970569282827337}, {0.0077, 0.9969801878380622}, 
 {0.0078000000000000005, 0.9969024922987649}, {0.0079, 0.9968238429172693}, 
 {0.008, 0.9967442409463793}, {0.0081, 0.9966636876392684}, 
 {0.008199999999999999, 0.9965821842494754}, {0.0083, 0.9964997320308985}, 
 {0.0084, 0.9964163322377901}, {0.0085, 0.9963319861247557}, 
 {0.0086, 0.9962466949467438}, {0.0087, 0.9961604599590452}, 
 {0.0088, 0.9960732824172864}, {0.0089, 0.9959851635774236}, 
 {0.009, 0.9958961046957423}, {0.0091, 0.9958061070288459}, 
 {0.0092, 0.9957151718336582}, {0.0093, 0.9956233003674119}, 
 {0.0094, 0.9955304938876506}, {0.0095, 0.9954367536522173}, 
 {0.0096, 0.9953420809192526}, {0.0097, 0.9952464769471946}, 
 {0.0098, 0.9951499429947676}, {0.009899999999999999, 0.9950524803209766}, 
 {0.01, 0.9949540901851094}, {0.0101, 0.9948547738467294}, 
 {0.0102, 0.9947545325656673}, {0.0103, 0.9946533676020194}, 
 {0.0104, 0.9945512802161444}, {0.0105, 0.9944482716686541}, 
